condition,bfi_orig_E_mean,bfi_orig_A_mean,bfi_orig_C_mean,bfi_orig_N_mean,bfi_orig_O_mean,bfi_orig_E_p_mean,bfi_orig_A_p_mean,bfi_orig_C_p_mean,bfi_orig_N_p_mean,bfi_orig_O_p_mean,bfi_sim_E_mean,bfi_sim_A_mean,bfi_sim_C_mean,bfi_sim_N_mean,bfi_sim_O_mean,bfi_sim_E_p_mean,bfi_sim_A_p_mean,bfi_sim_C_p_mean,bfi_sim_N_p_mean,bfi_sim_O_p_mean,orig_sim_E_mean,orig_sim_A_mean,orig_sim_C_mean,orig_sim_N_mean,orig_sim_O_mean,orig_sim_E_p_mean,orig_sim_A_p_mean,orig_sim_C_p_mean,orig_sim_N_p_mean,orig_sim_O_p_mean,bfi_orig_avg_mean,bfi_sim_avg_mean,orig_sim_avg_mean,n_participants_mean,bfi_orig_E_std,bfi_orig_A_std,bfi_orig_C_std,bfi_orig_N_std,bfi_orig_O_std,bfi_orig_E_p_std,bfi_orig_A_p_std,bfi_orig_C_p_std,bfi_orig_N_p_std,bfi_orig_O_p_std,bfi_sim_E_std,bfi_sim_A_std,bfi_sim_C_std,bfi_sim_N_std,bfi_sim_O_std,bfi_sim_E_p_std,bfi_sim_A_p_std,bfi_sim_C_p_std,bfi_sim_N_p_std,bfi_sim_O_p_std,orig_sim_E_std,orig_sim_A_std,orig_sim_C_std,orig_sim_N_std,orig_sim_O_std,orig_sim_E_p_std,orig_sim_A_p_std,orig_sim_C_p_std,orig_sim_N_p_std,orig_sim_O_p_std,bfi_orig_avg_std,bfi_sim_avg_std,orig_sim_avg_std,n_participants_std,bfi_orig_E_count,bfi_orig_A_count,bfi_orig_C_count,bfi_orig_N_count,bfi_orig_O_count,bfi_orig_E_p_count,bfi_orig_A_p_count,bfi_orig_C_p_count,bfi_orig_N_p_count,bfi_orig_O_p_count,bfi_sim_E_count,bfi_sim_A_count,bfi_sim_C_count,bfi_sim_N_count,bfi_sim_O_count,bfi_sim_E_p_count,bfi_sim_A_p_count,bfi_sim_C_p_count,bfi_sim_N_p_count,bfi_sim_O_p_count,orig_sim_E_count,orig_sim_A_count,orig_sim_C_count,orig_sim_N_count,orig_sim_O_count,orig_sim_E_p_count,orig_sim_A_p_count,orig_sim_C_p_count,orig_sim_N_p_count,orig_sim_O_p_count,bfi_orig_avg_count,bfi_sim_avg_count,orig_sim_avg_count,n_participants_count
Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.6066500898661261e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6785700722837509,0.3528921695675965,0.5819999546896646,0.7255005456085306,0.40373671174585457,1.055656720070567e-59,6.109621114969945e-10,5.077550480668059e-39,1.5678593580054327e-34,3.9285504528254556e-16,0.6143061536947206,0.29929679897501804,0.5479540445526266,0.552368257922321,0.2562773721984803,2.22973948491389e-46,8.899781555187465e-07,7.397100698999587e-31,2.461956989178507e-19,5.664173256933597e-07,0.801933672053827,0.5485398907790795,0.4540405254686333,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00470726203935969,0.04332893123875212,0.01703826088999456,0.1064128972772246,0.03002163845378677,1.4747472482588507e-59,1.3661444352240874e-09,1.060419451705693e-38,3.5058401036593265e-34,8.154586343632354e-16,0.003843755885701274,0.04722388459566944,0.026113396899795954,0.08327119678417565,0.025959827916400918,3.2443110433573765e-46,1.9900126440280573e-06,1.654009216814552e-30,5.505103185483856e-19,1.0700968515446873e-06,0.0,0.036223572243727395,0.0335116547864123,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.6066500898661261e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9020084768889978,0.8255366510946718,0.8869967232563585,0.8957916846781815,0.8156723162496021,1.1070467142622938e-130,6.041438687959273e-53,7.712152758680151e-97,5.6086687789680755e-114,5.113846217666579e-93,0.8541897832741965,0.7359659705729941,0.8045859860320157,0.718522882514526,0.7100399259971585,1.0146126129553716e-102,6.541359787767484e-53,1.4630158442027266e-71,6.735537402497333e-58,2.391363593067336e-49,0.801933672053827,0.8652011704335625,0.7646609096781781,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023964205729616352,0.10493334469509609,0.05657603015783734,0.037497356197727795,0.027525346309440268,2.475431707358275e-130,1.3509067588174074e-52,1.7244897821271347e-96,1.2541364653053359e-113,1.1434809038429635e-92,0.027597675594006357,0.05483271695219112,0.04958733060648528,0.031035317938681927,0.05040872788591149,2.268742773396895e-102,1.4626925150731692e-52,3.271402879796538e-71,1.5061119496976372e-57,5.347251553016708e-49,0.0,0.048321319848464016,0.04174853007432164,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.6066500898661261e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9153200282940611,0.8475957176954116,0.9037182035425662,0.8850553333020681,0.7714532312151139,1.2322637211367256e-130,1.8855219391485002e-59,3.266717769857873e-123,9.263067071889023e-94,4.778681869725565e-44,0.8738291561683946,0.7547622507030282,0.8193465043399378,0.7096041593945209,0.6644631128904217,7.562324045589485e-114,4.084408423117077e-51,6.04623037177392e-88,2.92416315439501e-53,3.0748526756494546e-31,0.801933672053827,0.8646285028098442,0.7644010366992606,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031107686739691023,0.09955823312059249,0.03150177540105773,0.056229770792117995,0.12492917163248364,2.7554254466685628e-130,4.216155229003269e-59,7.304602996708715e-123,2.0712847652883788e-93,1.0685457503552157e-43,0.024293591446605988,0.06890791269885299,0.02809447727306936,0.03767768457769224,0.12003471756332776,1.6909870633819307e-113,9.133014881962508e-51,1.3519782118910312e-87,6.538627590527455e-53,6.875578529734252e-31,0.0,0.0650896717750799,0.05086124388815365,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.6066500898661261e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6773320150808821,0.3507840465986707,0.5822489716830064,0.7295496275081366,0.4036952470746688,3.583790161451152e-59,1.952912423588932e-10,2.9574673727951827e-37,2.536311566678223e-38,2.2040112585008423e-15,0.6119981151444875,0.30066993755565086,0.5565986448729225,0.5604600232867432,0.2607841882705779,1.0179325237933418e-45,2.069147461567673e-08,6.510516555450926e-33,4.350418433517009e-22,3.8304558163792436e-06,0.801933672053827,0.5487219815890729,0.45810218182607637,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009148658937031892,0.04933212893866587,0.02464638981656775,0.09470812239071881,0.03920907296247118,3.4534814591595624e-59,4.351996144292848e-10,6.609127346886485e-37,5.671365075211498e-38,3.676510871165368e-15,0.008761007030154916,0.03961521373767339,0.02433603210147211,0.07161774330915266,0.03563761817904712,6.784376615608066e-46,4.4422599979750504e-08,1.454595178909291e-32,9.727831347912181e-22,8.539199869970862e-06,0.0,0.03726638332944995,0.027208778464733453,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
