condition,model,bfi_orig_E,bfi_orig_A,bfi_orig_C,bfi_orig_N,bfi_orig_O,bfi_orig_E_p,bfi_orig_A_p,bfi_orig_C_p,bfi_orig_N_p,bfi_orig_O_p,bfi_sim_E,bfi_sim_A,bfi_sim_C,bfi_sim_N,bfi_sim_O,bfi_sim_E_p,bfi_sim_A_p,bfi_sim_C_p,bfi_sim_N_p,bfi_sim_O_p,orig_sim_E,orig_sim_A,orig_sim_C,orig_sim_N,orig_sim_O,orig_sim_E_p,orig_sim_A_p,orig_sim_C_p,orig_sim_N_p,orig_sim_O_p,bfi_orig_avg,bfi_sim_avg,orig_sim_avg,n_participants
Expanded Format,deepseek,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9071127041241089,0.8880689037454328,0.9206971205026471,0.9320950683320232,0.8091073120294765,5.762320264848297e-166,2.994952497912079e-149,2.86208560921675e-180,2.0942871696799007e-194,1.0296978929712758e-102,0.858049320292571,0.768486817328025,0.8400475249631432,0.7547121463628291,0.7152871621263284,2.9412283985297856e-128,1.4136211392694583e-86,7.244232796834255e-118,7.756755647403609e-82,7.459220566361443e-70,0.801933672053827,0.8914162217467376,0.7873165942145792,438
Expanded Format,gpt_4,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9046009198093157,0.8306211970688836,0.8738482679021159,0.9068057772177119,0.7936195291395844,1.4560406368542964e-163,6.307326801758935e-113,1.2331921871833561e-138,1.142424657355732e-165,3.9148922954184494e-96,0.8567004605074533,0.7363513662905778,0.8051695882181579,0.7310971898327313,0.7062143332973847,1.976275900400851e-127,5.477642011990531e-76,5.515960411994654e-101,2.103652887279646e-74,2.2182660956988728e-67,0.801933672053827,0.8618991382275223,0.7671065876292611,438
Expanded Format,llama,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9206001253333117,0.8954031646843726,0.9154034978091181,0.9189063757959074,0.8486245838339583,3.6955096641002967e-180,2.6526269824120595e-155,2.0687526083276423e-174,3.0431413425930645e-178,1.1965640375941938e-122,0.8699692332874435,0.7533786479433809,0.8300318622910664,0.7494668470418544,0.7526119661887022,5.808892454217594e-136,2.146717376660769e-81,1.2546164135434206e-112,4.097187300405231e-80,3.843028173690121e-81,0.801933672053827,0.8997875494913338,0.7910917113504895,438
Expanded Format,gpt_4o,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9169104535954022,0.9111708761211172,0.9313990291488319,0.9251363630729271,0.8204812294348222,4.872410248323158e-176,5.376666188348281e-170,1.7895989684524924e-193,1.6566949833556664e-185,6.080545162700449e-108,0.8786890457216497,0.7747717793186608,0.8287935794594482,0.7571368284730023,0.7330411029608196,4.250043947748699e-142,7.532792712077052e-89,5.27622148841866e-112,1.1981121678088265e-82,5.510374411904688e-75,0.801933672053827,0.9010195902746201,0.7944864671867161,438
Expanded Format,openai_gpt_3.5_turbo_0125,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.860818181582851,0.6049818797036502,0.79363570091908,0.8211205509346329,0.7843144206211738,5.535233571311469e-130,4.503016039577286e-45,3.856076379340075e-96,3.0135367389935667e-108,1.908109608662621e-92,0.8075408565618647,0.6117517172099978,0.7188873752282625,0.6505095851980429,0.6225823281964731,5.073063064776859e-102,2.5739818002548458e-46,7.315079221013633e-71,4.7530954156900913e-54,2.2830444196829683e-48,0.801933672053827,0.7729741467522775,0.6822543724789282,438
Likert Format,gpt_4,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9249324830781973,0.9065013676250401,0.9096153744665016,0.9090907176591394,0.6772694056285052,2.9295218140460586e-185,2.247000915475791e-165,1.9847458916941463e-168,6.605686961834091e-168,4.3710915918355086e-60,0.8833070706292823,0.7948210507194625,0.8384466649391776,0.7473003150581735,0.5502344099040057,1.527830888693374e-145,1.266673690577184e-96,5.263230267788083e-117,2.049386626917893e-79,4.974737553790324e-36,0.801933672053827,0.8654818696914767,0.7628219022500204,438
Likert Format,gpt_4o,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9218362789372918,0.9117366890985164,0.9257270244630795,0.9264213282851692,0.8575908826848928,1.3881316906899543e-181,1.4232606368147041e-170,3.1482485255602466e-186,4.3921573650377066e-187,5.632048396513237e-128,0.8784843700202322,0.7851239315359089,0.8358775027284143,0.752088936237321,0.7615953649089436,5.994898126684099e-142,9.270317531384173e-93,1.2132619775933097e-115,5.710428488897762e-81,3.6446396885359585e-84,0.801933672053827,0.9086624406937901,0.802634021086164,438
Likert Format,openai_gpt_3.5_turbo_0125,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.8607442740695569,0.7155809186915171,0.8483892388506673,0.8277305626725171,0.5667092221172129,6.1613186056836276e-130,6.180098680013271e-70,1.6333588849289362e-122,1.7941284228106003e-111,1.4187522565782051e-38,0.8310582156909121,0.668031272353175,0.7703597561088202,0.6780687383445688,0.4951676175192932,3.781162022794743e-113,6.246349049784997e-58,3.02311518588696e-87,2.821035559623675e-60,1.789286178766929e-28,0.801933672053827,0.7638308432802943,0.6885371200033539,438
Likert Format,deepseek,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9315193868590238,0.9072722404606988,0.9199770942023742,0.9230294566985094,0.8164906211412136,1.2369382912530526e-193,4.0335966376647836e-166,1.8934355588329943e-179,5.549408612852146e-183,4.569123236670349e-106,0.8859348100234067,0.777925430382783,0.8299115335875227,0.7359565985707243,0.7254051996937428,1.440363596003165e-147,5.108132632744931e-90,1.443279031938117e-112,7.226900703364541e-76,9.946325099816489e-73,0.801933672053827,0.899657759872364,0.7910267144516359,438
Likert Format,llama,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.9375677185262359,0.8779501062912385,0.9148822857302079,0.9157011017549254,0.8865831808198432,4.275803195157218e-202,1.4671038140391124e-141,7.442402839122256e-174,9.92262275171391e-175,4.477181402628939e-148,0.8903613144781395,0.7714038931505811,0.8221370643357544,0.7543210594297972,0.7645830950541851,4.275692141071126e-151,1.2712600112554755e-87,9.813548582117075e-109,1.0462400307789506e-81,3.3605395064540124e-85,0.801933672053827,0.9065368786244902,0.8005612852896915,438
