study,format,mean,std,count
study_2,binary_elaborated,0.3690397936711356,0.02785007795961488,5
study_2,binary_simple,0.37078736317111016,0.029443324120609952,5
study_3,binary_elaborated,0.3454054203404041,0.0464708131581804,5
study_3,binary_simple,0.3396893751855522,0.040614746323017835,5
