study,format,mean,std,count
study_2,binary_elaborated,0.8433686643701739,0.06227591348039422,5
study_2,binary_simple,0.8465900455521804,0.062961451486687,5
study_3,binary_elaborated,0.7766399545943163,0.06773460326777558,5
study_3,binary_simple,0.7549006741293134,0.08776633000038313,5
