Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Extraversion,8,438,0.995,0.989,0.929,0.9,0.305,0.014,833.661,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Neuroticism,8,438,0.996,0.997,0.961,0.945,0.229,0.005,477.873,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1_0,Openness,8,438,0.985,0.983,0.889,0.845,0.297,0.025,791.241,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Agreeableness,8,438,0.966,0.898,0.601,0.441,0.607,0.141,3244.266,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Conscientiousness,8,438,0.98,0.976,0.854,0.796,0.398,0.03,1409.292,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Extraversion,8,438,0.996,0.999,0.949,0.928,0.287,0.003,741.86,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Neuroticism,8,438,0.953,0.98,0.777,0.688,0.429,0.116,1628.752,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_llama_temp1_0,Openness,8,438,0.958,0.972,0.754,0.655,0.413,0.09,1513.545,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Agreeableness,8,438,0.862,0.775,0.796,0.715,0.249,0.174,562.116,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Conscientiousness,8,438,0.935,0.915,0.712,0.596,0.359,0.139,1147.917,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Extraversion,8,438,0.984,0.984,0.928,0.899,0.255,0.028,587.55,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Neuroticism,8,438,0.813,0.262,0.362,0.107,0.409,0.285,1484.583,20,0
STUDY_2,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Openness,8,438,0.89,0.882,0.831,0.764,0.221,0.115,449.043,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Agreeableness,8,438,0.921,0.915,0.685,0.559,0.369,0.094,1211.473,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Conscientiousness,8,438,0.911,0.89,0.745,0.642,0.317,0.108,901.914,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Extraversion,8,438,0.959,0.962,0.903,0.864,0.22,0.035,444.58,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Neuroticism,8,438,0.896,0.596,0.674,0.543,0.386,0.206,1327.828,20,0
STUDY_2,expanded,bfi_to_minimarker_deepseek_temp1_0,Openness,8,438,0.887,0.67,0.54,0.356,0.567,0.255,2841.068,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Agreeableness,8,438,0.908,0.896,0.755,0.658,0.275,0.094,682.442,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Conscientiousness,8,438,0.877,0.869,0.725,0.615,0.272,0.106,666.705,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Extraversion,8,438,0.932,0.886,0.866,0.812,0.227,0.092,471.319,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Neuroticism,8,438,0.835,0.412,0.584,0.417,0.329,0.243,966.097,20,0
STUDY_2,expanded,bfi_to_minimarker_gpt_4_temp1_0,Openness,8,438,0.869,0.627,0.508,0.312,0.528,0.242,2458.434,20,0
