Condition,Model,Bold,Energetic,Extraverted,Talkative,Bashful,Quiet,Shy,Withdrawn,Cooperative,Kind,Sympathetic,Warm,Cold,Harsh,Rude,Unsympathetic,Efficient,Organized,Practical,Systematic,Careless,Disorganized,Inefficient,Sloppy,Envious,Fretful,Jealous,Moody,SelfConfident,SelfAssured,Unemotional,Unselfconscious,Artistic,Imaginative,Intellectual,Philosophical,Unartistic,Uncreative,Unintellectual,Unreflective
Unknown,deepseek,0.9983807298024618,0.987823197162954,0.9985771502474442,0.9915130271992411,-0.9795026286844545,-0.9840869903778084,-0.9816056174457967,-0.9615147758887028,0.997984299639038,0.9975448457376838,0.9984113330128729,0.7643005413374,-0.819915629325872,-0.8098305096265465,-0.7672028552108962,-0.7663616911083871,0.9676007019319461,0.9758069167635884,0.7052143509854597,0.9692361770015502,-0.9783426141893036,-0.984206877314881,-0.9739666210204487,-0.9683752770599554,0.9169587275313078,0.9928676864153835,0.9188732342443107,0.9960262231996195,NA,NA,NA,NA,NA,0.9708860566129636,0.9674866718581278,0.9334184479422115,NA,-0.8650472623585561,-0.8281361766963286,NA
Unknown,gpt_4,0.9924410087629583,0.9843338778782968,0.9964272406344169,0.9833114359201647,-0.9782483346404787,-0.9862728593447441,-0.9845807418612227,-0.9812020144061505,0.9410896770064916,0.9841588355519566,0.9683983317122266,0.9305539889338142,-0.9621899847144206,-0.92674441646125,-0.8358012602443147,-0.8587390141155515,0.9869742897940161,0.9858851818777737,0.8541259022851833,0.9685378099289723,-0.994182521382993,-0.994447777395877,-0.9810105318367334,-0.9673831080721366,0.9834217171776258,0.7270972856149225,0.9705013351388323,0.7257294784862199,NA,NA,NA,NA,NA,0.9565264678356153,0.9387127924042444,0.8946104017250401,NA,-0.9154354859742653,-0.8075445418686962,NA
Unknown,gpt_4o,0.9851385142171143,0.9897687878162187,0.9979126056992117,0.99804171007311,-0.9569039172636384,-0.9855118797186041,-0.971826717395859,-0.9715245024217444,0.9479988296872408,0.9832384788254502,0.9782065022383265,0.8901000567595214,-0.8741224776633112,-0.8533272124708922,-0.8799013853368732,-0.8782997334446198,0.9621365136649258,0.9660725834810222,0.7159441220928671,0.9535800830992567,-0.9846000498920737,-0.9947035260034112,-0.9907087979077783,-0.9946144063100483,0.9938059766582605,0.9837871613461696,0.9930394575296968,0.9875166253590733,NA,NA,NA,NA,NA,0.973972947488427,0.9505253236884332,0.9358439080402029,NA,-0.9436707503364368,-0.929027529956759,NA
Unknown,llama,0.9943420354672481,0.9960519855605525,0.9990454879094647,0.9961786686060585,-0.9903402788426655,-0.9940118595439993,-0.9890780986755835,-0.9844241819086549,0.673848412876041,0.7365641768862697,0.7314917421724668,0.5854247393205713,-0.9288134071156826,-0.9319006109275104,-0.9931446105417736,-1.000334687508035,0.9578855881997517,0.9529358510320741,0.6851502877288324,0.9359923734710315,-0.9581336316964206,-0.9985365874090867,-0.9937375723464837,-0.993908292697389,0.914864304551506,0.6533016667785907,1.0011290259643089,0.7492890465295575,NA,NA,NA,NA,NA,0.9462851021254911,0.9526588972597863,0.9590294094404973,NA,-0.7758461336293907,-0.8190640039941598,NA
Unknown,gpt_3.5,0.9545120760226342,0.9882346309115834,0.9899164138102725,0.9858640447348691,-0.9265604163743802,-0.927954341499839,-0.9209944238610505,-0.9246897611798206,0.8500081476352637,0.9611815057003875,0.957696908018866,0.8814495653351216,-0.08169161024918387,-0.21962909699153,-0.344484620117677,-0.35441568682797703,0.904231476203402,0.9085842811009814,0.8661317647966643,0.9386042948682545,-0.2564957642985277,-0.6768851147247047,-0.6768899433503819,-0.6315910910239353,0.9625369487920141,0.1705779845428505,0.9442267653512657,0.19646097415589484,NA,NA,NA,NA,NA,0.9221157177672619,0.9381808336812906,0.800330487914411,NA,-0.38018950384195743,-0.4349169817631066,NA
Unknown,deepseek,0.7571439526165896,0.6861183327291533,0.8330728261138705,0.8949020312023388,-0.8925689235144142,-0.9162216273304842,-0.9491142100684368,-0.9663716033311524,0.8053019616826519,0.9106410539315306,0.7213663404941931,0.8866780595618262,-0.8624743457882206,-0.8188296753497377,-0.6089007932987357,-0.7610929552845351,0.6093198520289939,0.9587339504411649,0.5945377868451422,0.8846582047929008,-0.5180328558988978,-0.9276323466710767,-0.6409835681628124,-0.8749167034093461,0.9780906136483585,0.48300437618909986,0.9916690471698207,0.4876639455206072,NA,NA,NA,NA,NA,0.3190695451774298,0.9962865816547669,0.9970973117213009,NA,-0.29413352188984176,-0.9521375292651606,NA
Unknown,gpt_4,0.598306450591773,0.5558695415601084,0.6416057159421037,0.6986558518710198,-0.9198416919549763,-0.8379154822963805,-0.9631019104524671,-0.9579961860838972,0.767172483547982,0.8577039891469699,0.7643820025341405,0.8577414344277976,-0.7543138846155444,-0.6767252948437114,-0.6005708152742703,-0.7915223515430483,0.614867247113935,0.9146748498228134,0.6420401070654479,0.8048799378006412,-0.3542615478402899,-0.8312903520976813,-0.6030608413653589,-0.7693672020159091,0.9375428971730877,0.22960083389993774,0.9279343002207063,0.293994286105189,NA,NA,NA,NA,NA,0.31224365107752106,0.9955071497342299,0.9903447409456739,NA,-0.25406981079313573,-0.8863780225150575,NA
Unknown,gpt_4o,0.711691527437523,0.684679047429064,0.8824727093943621,0.8558779643304325,-0.943602177306532,-0.9123836246424812,-0.9429025998917625,-0.9682421925085879,0.7197196499054777,0.8912725082041899,0.8179507246658404,0.910951302641951,-0.9282390900184287,-0.7976056244795979,-0.6661415374487388,-0.9109460053969544,0.6519255059332691,0.9219208531340126,0.5671057598018732,0.8067408850956732,-0.6517910808655258,-0.9363054289723146,-0.7852902787680557,-0.9253353082294312,0.955038381144888,0.5896594305140855,0.9566860740433729,0.5924763514038895,NA,NA,NA,NA,NA,0.3314161890396808,0.9878402887431942,0.9801694899061724,NA,-0.3805525935633721,-0.9372921289035699,NA
Unknown,llama,0.7483905133192088,0.696411119277337,0.8979831145188694,0.8590849007541916,-0.9468741238082868,-0.9301161104652247,-0.9710528120140571,-0.9892507522636339,0.7994745967433547,0.9383252520255184,0.8089492804766697,0.9216779701507901,-0.8640052969869122,-0.8059571951116342,-0.6310115709537476,-0.8705212160560415,0.6476583431709222,0.9642739620581666,0.806074403734533,0.9145914370011199,-0.5770670027068939,-0.9537333316621465,-0.791789133096813,-0.8823565104087039,0.9460661705431574,0.5514754308844951,0.9859997212885427,0.4541454579865839,NA,NA,NA,NA,NA,0.41140237705681876,0.9944630917359656,0.9527459108317163,NA,-0.4185805089291196,-0.8946166451313482,NA
Unknown,gpt_3.5,0.7184575389250898,0.6825814624905637,0.7533976521409381,0.7520258176349748,-0.8792769134327484,-0.9162118582765373,-0.9800670446011273,-0.9771466322445879,0.8431865245012115,0.9474584586882379,0.923371039375084,0.9555977869291703,-0.327072835377522,-0.3983488334236977,-0.5103352785168682,-0.591176616685643,0.7553084269515397,0.763340433928975,0.5722917599287122,0.7867296792284533,-0.7304830870621565,-0.8555562982112042,-0.8484457093542452,-0.8444112366738474,0.9398727503033137,0.19879364992445392,0.9960233043915354,0.22226928413160332,NA,NA,NA,NA,NA,0.4064862022560564,0.9827100788486237,0.9268196833889735,NA,-0.3014516363500723,-0.44252848775814413,NA
