model,condition,bfi_orig_E_mean,bfi_orig_A_mean,bfi_orig_C_mean,bfi_orig_N_mean,bfi_orig_O_mean,bfi_orig_E_p_mean,bfi_orig_A_p_mean,bfi_orig_C_p_mean,bfi_orig_N_p_mean,bfi_orig_O_p_mean,bfi_sim_E_mean,bfi_sim_A_mean,bfi_sim_C_mean,bfi_sim_N_mean,bfi_sim_O_mean,bfi_sim_E_p_mean,bfi_sim_A_p_mean,bfi_sim_C_p_mean,bfi_sim_N_p_mean,bfi_sim_O_p_mean,orig_sim_E_mean,orig_sim_A_mean,orig_sim_C_mean,orig_sim_N_mean,orig_sim_O_mean,orig_sim_E_p_mean,orig_sim_A_p_mean,orig_sim_C_p_mean,orig_sim_N_p_mean,orig_sim_O_p_mean,bfi_orig_avg_mean,bfi_sim_avg_mean,orig_sim_avg_mean,n_participants_mean,bfi_orig_E_std,bfi_orig_A_std,bfi_orig_C_std,bfi_orig_N_std,bfi_orig_O_std,bfi_orig_E_p_std,bfi_orig_A_p_std,bfi_orig_C_p_std,bfi_orig_N_p_std,bfi_orig_O_p_std,bfi_sim_E_std,bfi_sim_A_std,bfi_sim_C_std,bfi_sim_N_std,bfi_sim_O_std,bfi_sim_E_p_std,bfi_sim_A_p_std,bfi_sim_C_p_std,bfi_sim_N_p_std,bfi_sim_O_p_std,orig_sim_E_std,orig_sim_A_std,orig_sim_C_std,orig_sim_N_std,orig_sim_O_std,orig_sim_E_p_std,orig_sim_A_p_std,orig_sim_C_p_std,orig_sim_N_p_std,orig_sim_O_p_std,bfi_orig_avg_std,bfi_sim_avg_std,orig_sim_avg_std,n_participants_std,bfi_orig_E_count,bfi_orig_A_count,bfi_orig_C_count,bfi_orig_N_count,bfi_orig_O_count,bfi_orig_E_p_count,bfi_orig_A_p_count,bfi_orig_C_p_count,bfi_orig_N_p_count,bfi_orig_O_p_count,bfi_sim_E_count,bfi_sim_A_count,bfi_sim_C_count,bfi_sim_N_count,bfi_sim_O_count,bfi_sim_E_p_count,bfi_sim_A_p_count,bfi_sim_C_p_count,bfi_sim_N_p_count,bfi_sim_O_p_count,orig_sim_E_count,orig_sim_A_count,orig_sim_C_count,orig_sim_N_count,orig_sim_O_count,orig_sim_E_p_count,orig_sim_A_p_count,orig_sim_C_p_count,orig_sim_N_p_count,orig_sim_O_p_count,bfi_orig_avg_count,bfi_sim_avg_count,orig_sim_avg_count,n_participants_count
gpt_4o,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9218362789372918,0.9046227321577524,0.9257270244630796,0.9155896943812212,0.8628399376570789,1.3881316906899545e-181,1.388666022340619e-163,3.1482485255602466e-186,1.306809081944307e-174,2.881234434418564e-131,0.8784843700202322,0.791405453900038,0.8358775027284143,0.7355257208495607,0.764210662360856,5.994898126684099e-142,3.070934635376374e-95,1.2132619775933097e-115,9.774013182556575e-76,4.532054951871157e-85,0.801933672053827,0.9061231335192848,0.8011007419718202,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4o,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6936076709732214,0.4192415533963682,0.6217648982598272,0.7690060189565636,0.4494193737541198,4.2613136194183745e-64,4.510819200458756e-20,3.2824846193049565e-48,9.231451232056468e-87,3.6705393523149305e-23,0.6276207910419772,0.3556965639901374,0.5896702254641979,0.5883449301834925,0.3002148048737433,2.3777405961276888e-49,1.6497335449612064e-14,2.2773696025411573e-42,3.84352432283287e-42,1.4211257035989428e-10,0.801933672053827,0.59060790306802,0.4923094631107096,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
llama,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6734713643100577,0.3576246743226471,0.5743647740961246,0.7751779422074103,0.4064310030288088,3.436101835732825e-59,1.1639969841927304e-14,8.316235613291654e-40,5.3395812329153306e-89,7.492517869946939e-19,0.6091220910886508,0.3083607964368048,0.5431622805415931,0.6015688661670152,0.2622043549055842,7.887608956591184e-46,4.2098651281137796e-11,5.578468605126611e-35,1.857326069351319e-44,2.5533882887062663e-08,0.801933672053827,0.5574139515930098,0.4648836778279296,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
llama,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9206001253333116,0.8737611641567706,0.915403497809118,0.9129971644782174,0.8559413595667423,3.695509664100297e-180,1.4191265128499562e-138,2.0687526083276423e-174,7.133233999366714e-172,5.724257602417015e-127,0.8699692332874435,0.7460136418990374,0.8300318622910664,0.7398598773881542,0.7543028291945792,5.8088924542175935e-136,5.290096332507096e-79,1.2546164135434206e-112,4.563458008529631e-77,1.0609207534491994e-81,0.801933672053827,0.8957406622688321,0.7880354888120562,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
llama,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.937567718526236,0.8658355264149257,0.914882285730208,0.9161181159712414,0.8865148455964874,4.275803195157218e-202,3.3079255025875823e-133,7.442402839122256e-174,3.527974716917169e-175,5.065649499914927e-148,0.8903613144781395,0.7684098973674148,0.8221370643357544,0.7301486020960983,0.7615850688288289,4.275692141071126e-151,1.505597830367458e-86,9.813548582117077e-109,4.027481400057313e-74,3.6744792354786533e-84,0.801933672053827,0.9041836984478197,0.7945283894212471,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
llama,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6716068269410714,0.3260461363048024,0.5790896305107508,0.7758456864131389,0.4227271524199288,9.349621769044528e-59,2.629400226382992e-12,1.3908332874019483e-40,3.027792658753025e-89,2.056095879093876e-20,0.6076653878216381,0.2781176930055415,0.5460193017155189,0.5973159998151658,0.262116148210495,1.4601718084006282e-45,3.1968474679580582e-09,2.1156187425681752e-35,1.0602569610011005e-43,2.5820003062617668e-08,0.801933672053827,0.5550630865179385,0.4582469061136718,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
openai_gpt_3.5_turbo_0125,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6749394345936777,0.2784545688615424,0.575693720560122,0.5352328658767544,0.3675857363206715,1.55426751797163e-59,3.054795570878155e-09,5.043753978481581e-40,7.839296790027163e-34,1.848901815816088e-15,0.6123873478541452,0.217275546429897,0.5083457222657962,0.4041090657269798,0.2414093223060208,1.9604763193436797e-46,4.449820993911195e-06,3.6984917049617574e-30,1.2309784945892536e-18,3.158889557094669e-07,0.801933672053827,0.4863812652425536,0.3967054009165678,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
openai_gpt_3.5_turbo_0125,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.860818181582851,0.6419553949769204,0.79363570091908,0.8313128929333662,0.7839852058404105,5.535233571311469e-130,3.0207193439796362e-52,3.856076379340075e-96,2.8043343894840377e-113,2.5569054472935232e-92,0.8075408565618647,0.6417888922015845,0.7188873752282625,0.6648171338926531,0.6240324916804006,5.073063064776859e-102,3.270679893883742e-52,7.315079221013633e-71,3.367768701248662e-57,1.195681796533668e-48,0.801933672053827,0.7823414752505256,0.691413349912953,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
openai_gpt_3.5_turbo_0125,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.8607442740695569,0.6715912970039921,0.8483892388506673,0.7858988027881606,0.5953103803853549,6.1613186056836276e-130,9.427609695742501e-59,1.6333588849289362e-122,4.631533535944512e-93,2.3893409348627827e-43,0.8310582156909121,0.6329858699914529,0.7703597561088202,0.6434703321787602,0.511249955916422,3.7811620227947427e-113,2.0422042115585385e-50,3.02311518588696e-87,1.462081577197505e-52,1.5374261457348442e-30,0.801933672053827,0.7523867986195464,0.6778248259772736,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
openai_gpt_3.5_turbo_0125,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6738205923439851,0.2867825718873628,0.5537229040046528,0.5606581412929644,0.3658897750965913,2.8463383110152863e-59,9.737973350607156e-10,1.478023327644069e-36,1.2681557833391116e-37,2.540575970865704e-15,0.60719442630328,0.2511377936459626,0.523685679888188,0.4324748430832941,0.2681442673068317,1.7806528633977016e-45,1.0011951902940161e-07,3.253110104530859e-32,2.1752092167585044e-21,1.1943417699236996e-08,0.801933672053827,0.4881747969251113,0.4165274020455113,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
