model,bfi_orig_E_mean,bfi_orig_A_mean,bfi_orig_C_mean,bfi_orig_N_mean,bfi_orig_O_mean,bfi_orig_E_p_mean,bfi_orig_A_p_mean,bfi_orig_C_p_mean,bfi_orig_N_p_mean,bfi_orig_O_p_mean,bfi_sim_E_mean,bfi_sim_A_mean,bfi_sim_C_mean,bfi_sim_N_mean,bfi_sim_O_mean,bfi_sim_E_p_mean,bfi_sim_A_p_mean,bfi_sim_C_p_mean,bfi_sim_N_p_mean,bfi_sim_O_p_mean,orig_sim_E_mean,orig_sim_A_mean,orig_sim_C_mean,orig_sim_N_mean,orig_sim_O_mean,orig_sim_E_p_mean,orig_sim_A_p_mean,orig_sim_C_p_mean,orig_sim_N_p_mean,orig_sim_O_p_mean,bfi_orig_avg_mean,bfi_sim_avg_mean,orig_sim_avg_mean,n_participants_mean,bfi_orig_E_std,bfi_orig_A_std,bfi_orig_C_std,bfi_orig_N_std,bfi_orig_O_std,bfi_orig_E_p_std,bfi_orig_A_p_std,bfi_orig_C_p_std,bfi_orig_N_p_std,bfi_orig_O_p_std,bfi_sim_E_std,bfi_sim_A_std,bfi_sim_C_std,bfi_sim_N_std,bfi_sim_O_std,bfi_sim_E_p_std,bfi_sim_A_p_std,bfi_sim_C_p_std,bfi_sim_N_p_std,bfi_sim_O_p_std,orig_sim_E_std,orig_sim_A_std,orig_sim_C_std,orig_sim_N_std,orig_sim_O_std,orig_sim_E_p_std,orig_sim_A_p_std,orig_sim_C_p_std,orig_sim_N_p_std,orig_sim_O_p_std,bfi_orig_avg_std,bfi_sim_avg_std,orig_sim_avg_std,n_participants_std,bfi_orig_E_count,bfi_orig_A_count,bfi_orig_C_count,bfi_orig_N_count,bfi_orig_O_count,bfi_orig_E_p_count,bfi_orig_A_p_count,bfi_orig_C_p_count,bfi_orig_N_p_count,bfi_orig_O_p_count,bfi_sim_E_count,bfi_sim_A_count,bfi_sim_C_count,bfi_sim_N_count,bfi_sim_O_count,bfi_sim_E_p_count,bfi_sim_A_p_count,bfi_sim_C_p_count,bfi_sim_N_p_count,bfi_sim_O_p_count,orig_sim_E_count,orig_sim_A_count,orig_sim_C_count,orig_sim_N_count,orig_sim_O_count,orig_sim_E_p_count,orig_sim_A_p_count,orig_sim_C_p_count,orig_sim_N_p_count,orig_sim_O_p_count,bfi_orig_avg_count,bfi_sim_avg_count,orig_sim_avg_count,n_participants_count
deepseek,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.7977861377731642,0.6253034985885445,0.7454090959137795,0.8496297392423777,0.5965739936665343,7.364762447251527e-60,9.76820718026358e-16,6.135031817275334e-39,4.526943703800999e-90,2.148501924101215e-15,0.7424241669871505,0.5438469851078185,0.6973354114984939,0.6569913031184533,0.4690956144196071,2.2028084789499554e-46,7.415569016959382e-12,3.428568149592987e-37,3.3447666087522237e-41,5.393080422231057e-06,0.801933672053827,0.72294049303688,0.6219386962263047,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14069717827260256,0.297836577791897,0.2020345926684947,0.08200741604525147,0.2609978947219584,1.3376022231673184e-59,1.2200018433312937e-15,1.1936725352464685e-38,8.832484467747256e-90,4.2209642116097976e-15,0.15007866727005517,0.26386955755502656,0.15905985269508224,0.08286992031950974,0.2960479402239708,4.2114201522254866e-46,9.402236062832828e-12,6.705373274716676e-37,6.640335898138785e-41,9.215478285592696e-06,0.0,0.19655479173409351,0.19006842860020406,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gpt_4,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.7959370719213206,0.6162112302781027,0.7373178554177142,0.8300994091846279,0.5812573543519106,7.650065468661685e-60,7.22368407191885e-15,2.072525366404257e-41,1.2819529703577757e-84,1.9007503818065716e-20,0.7406954083509868,0.5411036128645912,0.6888739641651325,0.6561998528643013,0.4514578554913969,2.7165831505637365e-46,3.4665375930188336e-11,4.534723660988748e-37,2.127603451194272e-42,8.063746373714426e-09,0.801933672053827,0.7121645842307351,0.6156661387472817,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13749108490297285,0.29426540890699465,0.17890576580898127,0.07576111831462601,0.1913273199269165,1.4807390956232713e-59,1.3917519355485638e-14,3.21407562724206e-41,2.5490484254970043e-84,2.2932952797706847e-20,0.14972468572174463,0.26768161738387974,0.15411040269432238,0.077443551790616,0.22229709594139369,4.853726225790027e-46,6.427035604251031e-11,7.194671753358454e-37,3.600919018949856e-42,1.1183132433837758e-08,0.0,0.1741047985118868,0.17210553678021562,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
gpt_4o,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.8044229015649433,0.6539831688465503,0.77218242701282,0.8418319374538272,0.6442691702743555,1.2434518697604044e-62,5.2812957642662335e-18,1.462969089407617e-46,2.416283610026986e-87,4.8267307629954794e-23,0.750959716742593,0.5673955665415304,0.708739838489502,0.6595618178278541,0.5226411696975035,2.785627556590285e-48,9.19581228018084e-14,1.9945334417355707e-41,1.4031799981789795e-42,1.506941463868616e-10,0.801933672053827,0.7433379210304993,0.6418596218597966,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327915277671581,0.2879145563321691,0.18065323155858645,0.0820088825056481,0.2290452473447788,2.4585770489359804e-62,1.05325408657631e-17,2.9040961724801226e-46,4.548042327509077e-87,7.411253490611789e-23,0.14741256325270477,0.25466975617553006,0.1427931519918783,0.08123983417169495,0.2618371127104714,5.4138995137107984e-48,1.7309281551741665e-13,3.8387437260724484e-41,1.828211886824806e-42,2.1723444671748357e-10,0.0,0.18236165801215512,0.17754359333448416,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
llama,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.8008115087776692,0.6058168752997865,0.7459350470365503,0.8450347272675021,0.6429035901529918,3.196430901194338e-59,6.602600490562298e-13,2.4267672251734004e-40,2.091843472917089e-89,1.9245318644640817e-19,0.744279506668968,0.5252255071771996,0.6853376272209832,0.6672233363666084,0.5100521002848718,5.622331760149367e-46,8.09736529809799e-10,1.9235218369236965e-35,3.114973919840581e-44,1.2838471487420084e-08,0.801933672053827,0.7281003497069,0.6264236155437262,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14828006807236693,0.3051092022443154,0.1953940265565844,0.08028871820811426,0.2640255563195655,4.41034923126947e-59,1.3127715858546388e-12,3.980678139397126e-40,2.593287467453682e-89,3.713255882410301e-19,0.1571291893156772,0.26831487886147565,0.16255658777021412,0.07838622608513038,0.28625629195884505,7.047034562427814e-46,1.5915310279723187e-09,2.632831784334106e-35,5.067934897565048e-44,1.482505011695434e-08,0.0,0.19848120066536773,0.19039972833809016,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
openai_gpt_3.5_turbo_0125,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.7675806206475176,0.46969595818245446,0.6928603910836305,0.6782756757228114,0.5281927744107571,1.100151457246729e-59,1.0071482264847177e-09,3.6963192576047927e-37,1.9601412364526254e-34,1.097369446670448e-15,0.7145452116025505,0.43579702556722427,0.6303196333727668,0.5362178437204218,0.41120900930241877,4.9417512383301736e-46,1.1374851282351492e-06,9.327557015017665e-31,3.0828842595150303e-19,8.195809335217598e-08,0.801933672053827,0.6273210840094342,0.5456177447130764,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10761976483442881,0.2163836232850815,0.14992459721739015,0.15198493037676056,0.20171880203135883,1.3755067408833537e-59,1.4402160751293415e-09,7.389276395085397e-37,3.919437081307347e-34,1.2982148484650017e-15,0.12135882104061112,0.2332143207888303,0.1337957596485443,0.13693820153317748,0.18672750177487304,8.626167711971898e-46,2.208728225934475e-06,1.8438877740135506e-30,6.151275670877113e-19,1.5605550433724964e-07,0.0,0.16217118156942784,0.16080451230919615,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
