Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_3,binary_simple,bfi_to_minimarker_binary_gpt_4o_temp1,Openness,8,200,0.985,0.986,0.918,0.885,0.251,0.021,272.897,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Agreeableness,8,200,0.965,0.847,0.655,0.517,0.559,0.146,1268.762,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Conscientiousness,8,200,0.988,0.991,0.94,0.916,0.283,0.013,341.007,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Extraversion,8,200,0.993,0.998,0.917,0.884,0.366,0.002,557.04,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Neuroticism,8,200,0.966,0.986,0.898,0.857,0.301,0.047,382.234,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_llama_temp1,Openness,8,200,0.962,0.96,0.76,0.664,0.403,0.082,671.218,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1,Agreeableness,8,200,0.812,0.637,0.733,0.627,0.266,0.212,303.775,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1,Conscientiousness,8,200,0.895,0.881,0.683,0.556,0.369,0.208,565.25,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1,Extraversion,8,200,0.919,0.848,0.692,0.568,0.397,0.225,648.908,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1,Neuroticism,8,200,0.825,0.744,0.604,0.446,0.316,0.174,420.339,20,0
STUDY_3,binary_simple,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1,Openness,8,200,0.889,0.892,0.816,0.743,0.233,0.125,236.846,20,0
STUDY_3,expanded,bfi_to_minimarker_deepseek_temp1,Agreeableness,8,200,0.929,0.901,0.786,0.7,0.304,0.097,389.579,20,0
STUDY_3,expanded,bfi_to_minimarker_deepseek_temp1,Conscientiousness,8,200,0.902,0.872,0.786,0.7,0.272,0.107,316.596,20,0
STUDY_3,expanded,bfi_to_minimarker_deepseek_temp1,Extraversion,8,200,0.951,0.955,0.834,0.767,0.282,0.043,338.241,20,0
STUDY_3,expanded,bfi_to_minimarker_deepseek_temp1,Neuroticism,8,200,0.849,0.312,0.583,0.416,0.421,0.291,728.367,20,0
STUDY_3,expanded,bfi_to_minimarker_deepseek_temp1,Openness,8,200,0.894,0.722,0.606,0.448,0.527,0.236,1130.358,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4_temp1,Agreeableness,8,200,0.905,0.878,0.889,0.844,0.182,0.086,152.742,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4_temp1,Conscientiousness,8,200,0.861,0.839,0.719,0.607,0.279,0.115,330.943,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4_temp1,Extraversion,8,200,0.939,0.936,0.891,0.847,0.205,0.053,187.972,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4_temp1,Neuroticism,8,200,0.792,0.275,0.573,0.402,0.315,0.254,417.732,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4_temp1,Openness,8,200,0.855,0.678,0.526,0.337,0.505,0.217,1040.441,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4o_temp1,Agreeableness,8,200,0.941,0.928,0.83,0.762,0.279,0.077,330.972,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4o_temp1,Conscientiousness,8,200,0.926,0.919,0.812,0.737,0.275,0.081,323.147,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4o_temp1,Extraversion,8,200,0.956,0.951,0.788,0.703,0.342,0.049,486.582,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4o_temp1,Neuroticism,8,200,0.902,0.652,0.577,0.407,0.416,0.208,713.063,20,0
STUDY_3,expanded,bfi_to_minimarker_gpt_4o_temp1,Openness,8,200,0.894,0.745,0.59,0.427,0.471,0.208,907.326,20,0
STUDY_3,expanded,bfi_to_minimarker_llama_temp1,Agreeableness,8,200,0.937,0.917,0.815,0.74,0.298,0.095,374.873,20,0
STUDY_3,expanded,bfi_to_minimarker_llama_temp1,Conscientiousness,8,200,0.93,0.911,0.804,0.726,0.301,0.092,381.969,20,0
STUDY_3,expanded,bfi_to_minimarker_llama_temp1,Extraversion,8,200,0.949,0.948,0.843,0.781,0.276,0.048,323.945,20,0
STUDY_3,expanded,bfi_to_minimarker_llama_temp1,Neuroticism,8,200,0.835,0.298,0.472,0.261,0.46,0.303,866.072,20,0
STUDY_3,expanded,bfi_to_minimarker_llama_temp1,Openness,8,200,0.903,0.782,0.617,0.464,0.439,0.187,790.078,20,0
STUDY_3,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Agreeableness,8,200,0.841,0.777,0.72,0.608,0.284,0.196,342.898,20,0
STUDY_3,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Conscientiousness,8,200,0.891,0.871,0.575,0.405,0.381,0.147,601.107,20,0
STUDY_3,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Extraversion,8,200,0.964,0.925,0.872,0.82,0.267,0.083,304.99,20,0
STUDY_3,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Neuroticism,8,200,0.78,0.117,0.434,0.207,0.406,0.307,677.805,20,0
STUDY_3,expanded,bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1,Openness,8,200,0.868,0.816,0.594,0.432,0.376,0.159,584.657,20,0
STUDY_3,likert,bfi_to_minimarker_deepseek_temp1,Agreeableness,8,200,0.919,0.875,0.777,0.688,0.286,0.111,348.159,20,0
STUDY_3,likert,bfi_to_minimarker_deepseek_temp1,Conscientiousness,8,200,0.895,0.892,0.779,0.691,0.245,0.105,260.984,20,0
STUDY_3,likert,bfi_to_minimarker_deepseek_temp1,Extraversion,8,200,0.927,0.892,0.93,0.903,0.163,0.066,125.9,20,0
STUDY_3,likert,bfi_to_minimarker_deepseek_temp1,Neuroticism,8,200,0.813,0.379,0.606,0.448,0.347,0.243,501.028,20,0
STUDY_3,likert,bfi_to_minimarker_deepseek_temp1,Openness,8,200,0.869,0.745,0.425,0.195,0.527,0.166,1132.084,20,0
